City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Wind Speed
229,Angoche,MZ,2023-03-30 19:01:50,-16.2325,39.9086,72.45,92,2.77
230,Stromness,GB,2023-03-30 19:01:51,58.965,-3.296,46.36,88,7.0
231,Komatsu,JP,2023-03-30 19:01:51,36.4026,136.4509,42.78,75,2.3
232,Lima,PE,2023-03-30 19:01:18,-12.0432,-77.0282,79.05,69,13.8
233,De Aar,ZA,2023-03-30 19:01:52,-30.6497,24.0123,62.96,29,12.62
234,Odweyne,SO,2023-03-30 19:01:52,9.4092,45.064,80.71,51,9.28
235,Manitouwadge,CA,2023-03-30 19:01:52,49.1215,-85.8403,27.27,79,14.2
236,Pacific Grove,US,2023-03-30 19:01:53,36.6177,-121.9166,55.42,72,5.01
237,Clyde River,CA,2023-03-30 18:52:35,70.4692,-68.5914,1.63,78,11.5
238,Sarkikaraagac,TR,2023-03-30 19:01:53,38.0794,31.3664,27.77,68,8.52
239,Krasnyy Oktyabr,RU,2023-03-30 19:01:53,56.1167,38.8833,33.85,93,6.31
240,Boa Vista,BR,2023-03-30 19:01:53,2.8197,-60.6733,89.58,45,16.11
241,Uttaradit,TH,2023-03-30 19:01:54,17.6667,100.5,73.02,38,0.51
242,San Cristobal,VE,2023-03-30 18:50:13,7.7669,-72.225,75.38,53,5.44
243,Tadine,NC,2023-03-30 19:01:54,-21.55,167.8833,75.97,86,7.23
244,Nioki,CD,2023-03-30 18:57:37,-2.7167,17.6833,70.07,99,3.89
245,Palana,RU,2023-03-30 19:01:54,59.1167,159.9667,12.31,89,10.89
246,Marsabit,KE,2023-03-30 19:01:54,2.3284,37.9899,75.6,47,9.37
247,Blackwater,AU,2023-03-30 19:01:55,-23.5833,148.8833,69.49,57,8.79
248,Quatre Cocos,MU,2023-03-30 19:01:55,-20.2078,57.7625,80.71,83,18.84
249,Rawson,AR,2023-03-30 19:01:15,-43.3002,-65.1023,54.46,58,16.17
250,Tabou,CI,2023-03-30 19:01:55,4.423,-7.3528,80.11,82,6.55
251,Luderitz,NA,2023-03-30 18:57:38,-26.6481,15.1594,62.89,72,19.69
252,Petropavlovsk-Kamchatskiy,RU,2023-03-30 19:01:55,53.0452,158.6483,25.39,80,15.66
253,Pisco,PE,2023-03-30 18:54:41,-13.7,-76.2167,80.02,73,12.66
254,Porto Novo,BJ,2023-03-30 19:01:56,6.4965,2.6036,84.02,76,5.44
255,Lasa,IT,2023-03-30 18:57:40,46.6166,10.7002,51.03,95,4.05
256,Coihaique,CL,2023-03-30 19:01:56,-45.5752,-72.0662,51.75,54,4.61
257,Mount Isa,AU,2023-03-30 18:55:28,-20.7333,139.5,69.57,60,0.0
258,Maceio,BR,2023-03-30 19:00:17,-9.6658,-35.7353,85.44,61,10.36
259,Verkhoturye,RU,2023-03-30 19:01:56,58.8627,60.8054,25.83,91,7.94
260,Beringovskiy,RU,2023-03-30 19:01:57,63.05,179.3167,4.53,92,9.37
261,Port Macquarie,AU,2023-03-30 18:56:58,-31.4333,152.9167,52.9,67,7.34
262,Fairbanks,US,2023-03-30 19:00:00,64.8378,-147.7164,29.08,56,3.22
263,Bijie,CN,2023-03-30 19:01:57,27.3125,105.2942,50.34,96,2.48
264,Bandarbeyla,SO,2023-03-30 19:00:52,9.4942,50.8122,80.91,73,8.41
265,Leningradskiy,RU,2023-03-30 19:01:57,69.3833,178.4167,-16.26,99,4.59
266,Comodoro Rivadavia,AR,2023-03-30 18:51:52,-45.8667,-67.5,49.86,57,16.11
267,Puerto Narino,CO,2023-03-30 19:01:58,-3.7703,-70.3831,87.21,61,2.77
268,Plouzane,FR,2023-03-30 19:01:58,48.3833,-4.6167,53.78,94,31.07
269,Timoteo,BR,2023-03-30 19:01:58,-19.5825,-42.6444,90.46,40,5.19
270,Warwick,US,2023-03-30 19:01:08,41.7001,-71.4162,45.09,24,10.36
271,Ancud,CL,2023-03-30 19:01:58,-41.8697,-73.8203,51.87,63,8.23
272,Cherskiy,RU,2023-03-30 18:53:51,68.75,161.3,11.07,96,8.3
273,Floro,NO,2023-03-30 19:01:59,61.5996,5.0328,38.23,87,5.75
274,Harper,LR,2023-03-30 18:55:30,4.375,-7.7169,80.31,82,6.33
275,Dallas,US,2023-03-30 18:57:04,32.7668,-96.7836,69.17,79,14.97
276,Fushun,CN,2023-03-30 19:01:59,41.8558,123.9233,38.91,40,4.36
277,Beidao,CN,2023-03-30 19:01:59,34.5686,105.8933,48.38,80,5.19
278,Mahibadhoo,MV,2023-03-30 19:01:59,3.7833,72.9667,82.08,75,6.93
